date,sector,both,temp,change,temp_pct
2012,"Agriculture, Fishing and Forestry",2654,329,5.652866242,12.3963828184
2012,Mining and Quarrying,1662,203,-6.3661971831,12.2141997593
2012,Services,133601,17597,5.0636196348,13.171308598
2012,Business Services,19388,3538,2.5657303074,18.2484010728
2012,Computer consultancy activities,28439,3460,2.1332375651,12.1663912233
2012,Computer facilities management activities,10286,928,14.7991071429,9.0219716119
2012,Computer programming activities,25569,3090,11.9826566811,12.084946615
2012,Financial Services,22065,1505,1.1970280682,6.8207568547
2012,Other Information and Communication,8163,1593,3.7098208614,19.5148842337
2012,Other information technology and computer service activities,7975,858,6.8748324846,10.7586206897
2012,Other Services,11716,2625,2.0202020202,22.4052577672
2013,Manufacturing & Other Industry,198296,22056,2.2254986365,11.122765966
2013,Basic and Fabricated Metal Products,10898,915,3.3377583918,8.3960359699
2013,Chemicals,25459,3162,2.0400801603,12.4199693625
2013,"Clothing, Footwear and Leather",1511,275,-1.9467878001,18.1998676373
2013,"Computer, Electronic and Optical Equipment",21773,2142,4.7685497065,9.8378725945
2013,"Construction, Energy, Water and Waste *",11328,954,4.8791778539,8.4216101695
2013,Drink and Tobacco,4772,394,-7.519379845,8.256496228
2013,Electrical Equipment,5700,550,3.1674208145,9.649122807
2013,Food,44517,5562,2.7299580006,12.4941033762
2013,Machinery and Equipment,11189,827,3.2767214325,7.3911877737
2013,Medical and dental instruments and supplies,25611,3722,0.8386487125,14.5328179298
2013,Miscellaneous Manufacturing,5696,708,-6.5003282994,12.4297752809
2013,Non-Metallic Minerals,6115,651,7.1303433777,10.6459525756
2013,Paper and Printing,5883,506,-5.0669678877,8.6010538841
2013,Rubber and Plastics,7246,675,4.2890040299,9.3154844052
2013,Textiles,1355,269,2.8853454822,19.852398524
2013,Transport Equipment,4821,424,8.0941704036,8.794855839
2013,Wood and Wood Products,4422,320,0.8207934337,7.23654455
2013,Primary Production,4563,635,5.7228915663,13.9162831471
2013,"Agriculture, Fishing and Forestry",2816,283,6.1039939714,10.0497159091
2013,Mining and Quarrying,1747,352,5.1143200963,20.1488265598
2013,Services,142530,19785,6.6833332086,13.8812881499
2013,Business Services,21293,3929,9.82566536,18.4520734514
2013,Computer consultancy activities,30021,4046,5.5627835015,13.4772326038
2013,Computer facilities management activities,10791,1065,4.9095858448,9.8693355574
2013,Computer programming activities,27115,3423,6.0463842935,12.6240088512
